project,file_path,startline,endline,is_cloned,clone_type,nclasses,class_ids,clone_nlines,file_path_raw
junit5,test/java/org/junit/platform/console/tasks/DiscoveryRequestCreatorTests.java,153,163,1,T3,1,T3:155,9,systems/NicadRun/junit5-main/platform-tests/src/test/java/org/junit/platform/console/tasks/DiscoveryRequestCreatorTests.java
junit5,test/java/org/junit/platform/console/tasks/DiscoveryRequestCreatorTests.java,182,191,1,T3,1,T3:156,10,systems/NicadRun/junit5-main/platform-tests/src/test/java/org/junit/platform/console/tasks/DiscoveryRequestCreatorTests.java
junit5,test/java/org/junit/platform/console/tasks/DiscoveryRequestCreatorTests.java,194,205,1,T3,1,T3:156,10,systems/NicadRun/junit5-main/platform-tests/src/test/java/org/junit/platform/console/tasks/DiscoveryRequestCreatorTests.java
junit5,test/java/org/junit/platform/console/tasks/DiscoveryRequestCreatorTests.java,208,219,1,T3,1,T3:156,10,systems/NicadRun/junit5-main/platform-tests/src/test/java/org/junit/platform/console/tasks/DiscoveryRequestCreatorTests.java
junit5,test/java/org/junit/platform/console/tasks/DiscoveryRequestCreatorTests.java,222,229,1,T3,1,T3:157,6,systems/NicadRun/junit5-main/platform-tests/src/test/java/org/junit/platform/console/tasks/DiscoveryRequestCreatorTests.java
junit5,test/java/org/junit/platform/console/tasks/DiscoveryRequestCreatorTests.java,232,239,1,T3,2,T2:81;T3:157,6,systems/NicadRun/junit5-main/platform-tests/src/test/java/org/junit/platform/console/tasks/DiscoveryRequestCreatorTests.java
junit5,test/java/org/junit/platform/console/tasks/DiscoveryRequestCreatorTests.java,242,249,1,T3,2,T2:81;T3:157,6,systems/NicadRun/junit5-main/platform-tests/src/test/java/org/junit/platform/console/tasks/DiscoveryRequestCreatorTests.java
junit5,test/java/org/junit/platform/console/tasks/DiscoveryRequestCreatorTests.java,252,260,1,T3,2,T2:81;T3:157,6,systems/NicadRun/junit5-main/platform-tests/src/test/java/org/junit/platform/console/tasks/DiscoveryRequestCreatorTests.java
junit5,test/java/org/junit/platform/console/tasks/DiscoveryRequestCreatorTests.java,263,271,1,T3,2,T2:81;T3:157,6,systems/NicadRun/junit5-main/platform-tests/src/test/java/org/junit/platform/console/tasks/DiscoveryRequestCreatorTests.java
junit5,test/java/org/junit/platform/console/tasks/DiscoveryRequestCreatorTests.java,291,300,1,T3,2,T2:81;T3:157,6,systems/NicadRun/junit5-main/platform-tests/src/test/java/org/junit/platform/console/tasks/DiscoveryRequestCreatorTests.java
