project,file_path,startline,endline,is_cloned,clone_type,nclasses,class_ids,clone_nlines,file_path_raw
selenium-trunk,DefaultMouseTest.java,291,311,1,T3,1,T3:339,10,systems/NicadRun/selenium-trunk/java/test/org/openqa/selenium/bidi/input/DefaultMouseTest.java
selenium-trunk,DefaultMouseTest.java,314,327,1,T3,1,T3:340,9,systems/NicadRun/selenium-trunk/java/test/org/openqa/selenium/bidi/input/DefaultMouseTest.java
selenium-trunk,DefaultMouseTest.java,330,344,1,T3,1,T3:341,8,systems/NicadRun/selenium-trunk/java/test/org/openqa/selenium/bidi/input/DefaultMouseTest.java
selenium-trunk,DefaultMouseTest.java,347,358,1,T3,1,T3:342,8,systems/NicadRun/selenium-trunk/java/test/org/openqa/selenium/bidi/input/DefaultMouseTest.java
selenium-trunk,DefaultMouseTest.java,362,376,1,T3,1,T3:343,10,systems/NicadRun/selenium-trunk/java/test/org/openqa/selenium/bidi/input/DefaultMouseTest.java
selenium-trunk,DefaultMouseTest.java,380,418,1,T3,1,T3:344,18,systems/NicadRun/selenium-trunk/java/test/org/openqa/selenium/bidi/input/DefaultMouseTest.java
selenium-trunk,DefaultMouseTest.java,422,450,1,T3,1,T3:345,13,systems/NicadRun/selenium-trunk/java/test/org/openqa/selenium/bidi/input/DefaultMouseTest.java
selenium-trunk,DefaultMouseTest.java,452,461,1,T3,3,T1:44;T2:273;T3:346,7,systems/NicadRun/selenium-trunk/java/test/org/openqa/selenium/bidi/input/DefaultMouseTest.java
selenium-trunk,DefaultMouseTest.java,463,476,1,T3,3,T1:45;T2:274;T3:347,13,systems/NicadRun/selenium-trunk/java/test/org/openqa/selenium/bidi/input/DefaultMouseTest.java
selenium-trunk,DefaultWheelTest.java,63,73,1,T3,1,T3:360,7,systems/NicadRun/selenium-trunk/java/test/org/openqa/selenium/bidi/input/DefaultWheelTest.java
selenium-trunk,DefaultWheelTest.java,80,93,1,T3,1,T3:367,9,systems/NicadRun/selenium-trunk/java/test/org/openqa/selenium/bidi/input/DefaultWheelTest.java
selenium-trunk,DefaultWheelTest.java,99,112,1,T3,1,T3:367,9,systems/NicadRun/selenium-trunk/java/test/org/openqa/selenium/bidi/input/DefaultWheelTest.java
selenium-trunk,DefaultWheelTest.java,117,131,1,T3,1,T3:368,7,systems/NicadRun/selenium-trunk/java/test/org/openqa/selenium/bidi/input/DefaultWheelTest.java
selenium-trunk,DefaultWheelTest.java,135,152,1,T3,1,T3:361,7,systems/NicadRun/selenium-trunk/java/test/org/openqa/selenium/bidi/input/DefaultWheelTest.java
selenium-trunk,DefaultWheelTest.java,156,173,1,T3,1,T3:367,9,systems/NicadRun/selenium-trunk/java/test/org/openqa/selenium/bidi/input/DefaultWheelTest.java
selenium-trunk,DefaultWheelTest.java,176,187,1,T3,1,T3:368,7,systems/NicadRun/selenium-trunk/java/test/org/openqa/selenium/bidi/input/DefaultWheelTest.java
selenium-trunk,DragAndDropTest.java,54,60,1,T3,3,T1:47;T2:276;T3:369,7,systems/NicadRun/selenium-trunk/java/test/org/openqa/selenium/bidi/input/DragAndDropTest.java
selenium-trunk,DragAndDropTest.java,63,75,1,T3,3,T1:48;T2:277;T3:370,13,systems/NicadRun/selenium-trunk/java/test/org/openqa/selenium/bidi/input/DragAndDropTest.java
selenium-trunk,DragAndDropTest.java,78,84,1,T3,1,T3:188,5,systems/NicadRun/selenium-trunk/java/test/org/openqa/selenium/bidi/input/DragAndDropTest.java
selenium-trunk,DragAndDropTest.java,92,103,1,T3,1,T3:371,10,systems/NicadRun/selenium-trunk/java/test/org/openqa/selenium/bidi/input/DragAndDropTest.java
